"Date","(Observed) Incoming Shortwave (W/ft2)","(Modeled) Incoming Shortwave (W/ft2)","(Modeled) Net Shortwave (W/ft2)","(Modeled) Incoming Longwave (W/ft2)","(Modeled) Net Longwave (W/ft2)","Date w/o Time","Hour","Forecasted from 0 UTC"
"2023-08-27 14:00:00",,18.70,,,,"2023-08-27","14","n"
"2023-08-27 15:00:00",,28.06,,,,"2023-08-27","15","n"
"2023-08-27 16:00:00",,45.68,,,,"2023-08-27","16","n"
"2023-08-27 17:00:00",,63.30,,,,"2023-08-27","17","n"
"2023-08-27 18:00:00",,80.93,,,,"2023-08-27","18","n"
"2023-08-27 19:00:00",,83.58,,,,"2023-08-27","19","n"
"2023-08-27 20:00:00",,86.23,,,,"2023-08-27","20","n"
"2023-08-27 21:00:00",,88.88,,,,"2023-08-27","21","n"
"2023-08-27 22:00:00",,72.20,,,,"2023-08-27","22","n"
"2023-08-27 23:00:00",,56.71,,,,"2023-08-27","23","n"
"2023-08-28 00:00:00",,41.20,,,,"2023-08-28","00","n"
"2023-08-28 01:00:00",,27.47,,,,"2023-08-28","01","n"
"2023-08-28 02:00:00",,13.73,,,,"2023-08-28","02","n"
"2023-08-28 03:00:00",,0.00,,,,"2023-08-28","03","n"
"2023-08-28 04:00:00",,0.00,,,,"2023-08-28","04","n"
"2023-08-28 05:00:00",,0.00,,,,"2023-08-28","05","n"
"2023-08-28 06:00:00",,0.00,,,,"2023-08-28","06","n"
"2023-08-28 07:00:00",,0.00,,,,"2023-08-28","07","n"
"2023-08-28 08:00:00",,0.00,,,,"2023-08-28","08","n"
"2023-08-28 09:00:00",,0.00,,,,"2023-08-28","09","n"
"2023-08-28 10:00:00",,0.00,,,,"2023-08-28","10","n"
"2023-08-28 11:00:00",,0.00,,,,"2023-08-28","11","n"
"2023-08-28 12:00:00",,0.00,,,,"2023-08-28","12","n"
"2023-08-28 13:00:00",,9.48,,,,"2023-08-28","13","n"
"2023-08-28 14:00:00",,18.94,,,,"2023-08-28","14","n"
"2023-08-28 15:00:00",,28.42,,,,"2023-08-28","15","n"
"2023-08-28 16:00:00",,45.60,,,,"2023-08-28","16","n"
"2023-08-28 17:00:00",,62.77,,,,"2023-08-28","17","n"
"2023-08-28 18:00:00",,79.94,,,,"2023-08-28","18","n"
"2023-08-28 19:00:00",,82.36,,,,"2023-08-28","19","n"
"2023-08-28 20:00:00",,84.76,,,,"2023-08-28","20","n"
"2023-08-28 21:00:00",,87.18,,,,"2023-08-28","21","n"
"2023-08-28 22:00:00",,73.05,,,,"2023-08-28","22","n"
"2023-08-28 23:00:00",,58.67,,,,"2023-08-28","23","n"
"2023-08-29 00:00:00",,44.30,,,,"2023-08-29","00","n"
"2023-08-29 01:00:00",,29.53,,,,"2023-08-29","01","n"
"2023-08-29 02:00:00",,14.76,,,,"2023-08-29","02","n"
